# This file was produced by samtools stats (1.21+htslib-1.21) and can be plotted using plot-bamstats
# This file contains statistics for all reads.
# The command line was:  stats tumor.bwa.sorted.bam
# CHK, Checksum	[2]Read Names	[3]Sequences	[4]Qualities
# CHK, CRC32 of reads which passed filtering followed by addition (32bit overflow)
CHK	e981a279	0a08c1aa	7f551b21
# Summary Numbers. Use `grep ^SN | cut -f 2-` to extract this part.
SN	raw total sequences:	185368488	# excluding supplementary and secondary reads
SN	filtered sequences:	0
SN	sequences:	185368488
SN	is sorted:	1
SN	1st fragments:	92684244
SN	last fragments:	92684244
SN	reads mapped:	184997092
SN	reads mapped and paired:	184871454	# paired-end technology bit set + both mates mapped
SN	reads unmapped:	371396
SN	reads properly paired:	183457554	# proper-pair bit set
SN	reads paired:	185368488	# paired-end technology bit set
SN	reads duplicated:	0	# PCR or optical duplicate bit set
SN	reads MQ0:	13769146	# mapped and MQ=0
SN	reads QC failed:	0
SN	non-primary alignments:	0
SN	supplementary alignments:	148978
SN	total length:	18722217288	# ignores clipping
SN	total first fragment length:	9361108644	# ignores clipping
SN	total last fragment length:	9361108644	# ignores clipping
SN	bases mapped:	18684706292	# ignores clipping
SN	bases mapped (cigar):	18628986375	# more accurate
SN	bases trimmed:	0
SN	bases duplicated:	0
SN	mismatches:	39128204	# from NM fields
SN	error rate:	2.100394e-03	# mismatches / bases mapped (cigar)
SN	average length:	101
SN	average first fragment length:	101
SN	average last fragment length:	101
SN	maximum length:	101
SN	maximum first fragment length:	101
SN	maximum last fragment length:	101
SN	average quality:	36.6
SN	insert size average:	195.5
SN	insert size standard deviation:	62.4
SN	inward oriented pairs:	91572048
SN	outward oriented pairs:	463471
SN	pairs with other orientation:	16296
SN	pairs on different chromosomes:	383912
SN	percentage of properly paired reads (%):	99.0
# First Fragment Qualities. Use `grep ^FFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
FFQ	1	0	0	52991	0	0	0	0	0	0	0	66101	0	0	0	0	0	153455	0	0	1698	0	0	22503	178015	0	230905	480322	659781	549429	0	3262713	21199120	0	9520398	56306813	0	0	0	0	0	0	0	0
FFQ	2	0	0	2154	0	0	0	0	0	0	0	45293	0	0	0	0	0	177344	0	0	7825	0	0	37543	148867	0	191876	440119	726892	457284	0	2745861	18347364	0	4944829	64410993	0	0	0	0	0	0	0	0
FFQ	3	0	0	7726	0	0	0	0	0	0	0	43873	0	0	0	0	0	129905	0	0	1014	0	0	43581	145427	0	217608	446550	760337	540616	0	2805801	17828414	0	4803821	64909571	0	0	0	0	0	0	0	0
FFQ	4	0	0	1574	0	0	0	0	0	0	0	43543	0	0	0	0	0	56030	0	0	69361	0	0	38588	0	0	139461	206913	10472	323110	6870	574285	11502	893321	1595737	0	14566832	0	74146645	0	0	0	0	0
FFQ	5	0	0	114	0	0	0	0	0	0	0	66574	0	0	0	0	0	82718	0	0	80818	0	0	56709	0	0	186468	273040	15692	365544	8246	713748	16281	953540	1673124	0	14296471	0	73895157	0	0	0	0	0
FFQ	6	0	0	0	0	0	0	21	0	10169	0	56121	15381	0	0	20	11013	19781	88949	39836	33853	0	8442	5374	70459	30	224563	253413	38729	265012	143875	721176	139710	1138220	1600364	301	13207438	1439205	73152789	0	0	0	0	0
FFQ	7	0	0	0	0	0	12	115	0	13397	0	65552	17346	20	0	58	13811	21117	101342	40938	32630	39	9558	5688	73560	135	230518	252947	50581	265314	143024	726518	145437	1150297	1595125	397	13109033	1459268	73160467	0	0	0	0	0
FFQ	8	0	0	0	0	0	71	119	7	12608	2	58691	15274	56	3	59	16165	22347	107870	42024	33487	181	10647	6217	74763	181	245054	262532	75103	270262	140587	754486	162638	1197760	1679723	493	13360847	1480308	72653679	0	0	0	0	0
FFQ	9	0	0	0	0	0	112	175	41	14348	0	63273	16424	107	29	100	18289	23313	110483	43204	33331	472	11753	7061	76841	379	254067	105201	277442	235247	141931	765369	124692	1074271	1045899	846900	3954096	2521	7855714	4787954	70793205	0	0	0
FFQ	10	0	0	0	0	0	163	220	84	13817	5	60406	15142	254	48	123	18540	23869	108062	43594	32719	810	12561	7947	76632	795	252272	105224	335988	167907	142316	761347	121754	1067065	1043217	823528	3940238	2366	7786846	4903456	70814929	0	0	0
